s.no,timestamp,ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps)
205,2026-03-08_08:42:16.538,-1.017724,-0.06222,-0.002928,1.23375,-1.67125,-0.83125
206,2026-03-08_08:42:16.640,-1.01687,-0.061671,0.002623,1.1725,-1.8025,-0.91875
207,2026-03-08_08:42:16.742,-1.014125,-0.063013,0.00305,1.19,-1.6975,-0.8925
208,2026-03-08_08:42:16.845,-1.016809,-0.059353,-0.005185,0.97125,-1.65375,-0.945
209,2026-03-08_08:42:16.947,-1.009733,-0.05856,0.001159,1.19,-1.785,-0.97125
210,2026-03-08_08:42:17.049,-1.008025,-0.060451,0.004758,1.12,-1.84625,-0.945
211,2026-03-08_08:42:17.151,-1.01077,-0.062281,-0.000366,1.02375,-1.72375,-0.9275
212,2026-03-08_08:42:17.253,-1.01809,-0.062098,-0.006161,1.0675,-1.7325,-0.86625
213,2026-03-08_08:42:17.354,-1.019127,-0.055815,-0.007381,1.015,-1.70625,-0.7525
214,2026-03-08_08:42:17.456,-1.009184,-0.065392,0.006466,1.11125,-1.6625,-0.875
215,2026-03-08_08:42:17.558,-1.015711,-0.065087,0.002379,1.1725,-1.75,-0.79625
216,2026-03-08_08:42:17.660,-1.019005,-0.063074,0.00305,1.085,-1.7325,-0.91875
217,2026-03-08_08:42:17.762,-1.021567,-0.057889,0.000732,0.9625,-1.61875,-0.91875
218,2026-03-08_08:42:17.863,-1.011441,-0.062769,-0.000671,0.98,-1.74125,-0.9625
219,2026-03-08_08:42:17.965,-1.009855,-0.061061,-0.001281,1.05,-1.8025,-0.91
220,2026-03-08_08:42:18.068,-1.009794,-0.063135,0.005002,1.225,-1.75875,-0.945
221,2026-03-08_08:42:18.170,-1.009977,-0.055937,-0.004819,1.07625,-1.79375,-0.90125
222,2026-03-08_08:42:18.272,-1.006012,-0.05612,-0.002013,1.07625,-1.70625,-1.05
223,2026-03-08_08:42:18.374,-1.015223,-0.057462,-0.003843,1.1025,-1.74125,-0.8925
224,2026-03-08_08:42:18.476,-1.006561,-0.066856,0.004392,0.93625,-1.84625,-0.8925
225,2026-03-08_08:42:18.578,-1.010709,-0.062769,0.005978,1.015,-1.77625,-0.9975
226,2026-03-08_08:42:18.680,-1.007659,-0.058255,0.004941,1.2425,-1.74125,-0.86625
227,2026-03-08_08:42:18.782,-1.012234,-0.055693,-0.007259,1.11125,-1.88125,-0.98875
228,2026-03-08_08:42:18.884,-1.017053,-0.056425,-0.007625,0.91875,-1.715,-1.07625
229,2026-03-08_08:42:18.986,-1.014674,-0.063928,0.003538,1.05875,-1.6625,-0.8575
230,2026-03-08_08:42:19.087,-1.012173,-0.063318,0.009333,1.155,-1.72375,-0.9625
231,2026-03-08_08:42:19.190,-1.020774,-0.061305,-0.004697,1.12,-1.68,-0.81375
232,2026-03-08_08:42:19.292,-1.011441,-0.058987,-0.006893,0.9975,-1.7675,-0.9625
233,2026-03-08_08:42:19.394,-1.013637,-0.055876,-0.001159,1.21625,-1.6275,-0.91875
234,2026-03-08_08:42:19.496,-1.011563,-0.062525,0.004758,1.04125,-1.75875,-0.91875
235,2026-03-08_08:42:19.598,-1.015772,-0.061732,0.006283,1.28625,-1.68,-0.91
236,2026-03-08_08:42:19.701,-1.013088,-0.065819,0.00183,1.19875,-1.79375,-0.875
237,2026-03-08_08:42:19.802,-1.01931,-0.059902,-0.00854,1.12875,-1.7675,-0.86625
238,2026-03-08_08:42:19.904,-1.018395,-0.057828,-0.001952,1.00625,-1.81125,-0.875
239,2026-03-08_08:42:20.006,-1.01077,-0.060207,0.005246,1.0325,-1.7325,-0.9275
240,2026-03-08_08:42:20.108,-1.009916,-0.063318,0.007686,1.14625,-1.58375,-0.97125
241,2026-03-08_08:42:20.211,-1.011624,-0.059719,-0.003111,1.19,-1.75875,-0.91
242,2026-03-08_08:42:20.313,-1.013515,-0.057767,-0.001586,1.07625,-1.72375,-0.81375
243,2026-03-08_08:42:20.415,-1.017541,-0.068564,0.005307,1.085,-1.79375,-0.91
244,2026-03-08_08:42:20.516,-1.019188,-0.061,-0.003233,1.1025,-1.8375,-0.875
245,2026-03-08_08:42:20.618,-1.017297,-0.058987,-0.002379,0.98,-1.77625,-0.84
246,2026-03-08_08:42:20.721,-1.018273,-0.06283,0.004575,0.95375,-1.8025,-0.86625
247,2026-03-08_08:42:20.823,-1.013027,-0.06039,0.004148,1.1375,-1.82875,-0.86625
248,2026-03-08_08:42:20.924,-1.004792,-0.061793,0.000793,1.05,-1.74125,-0.8575
249,2026-03-08_08:42:21.026,-1.012661,-0.057767,-0.001769,1.05875,-1.68875,-0.9975
250,2026-03-08_08:42:21.128,-1.010648,-0.063623,0.00061,1.11125,-1.60125,-0.9625
251,2026-03-08_08:42:21.231,-1.018334,-0.060329,0.004026,1.09375,-1.75875,-0.91
252,2026-03-08_08:42:21.333,-1.019554,-0.061183,-0.000854,0.9275,-1.72375,-0.805
253,2026-03-08_08:42:21.439,-1.00711,-0.065514,0.000183,1.05,-1.75875,-0.945
254,2026-03-08_08:42:21.542,-1.009733,-0.065819,0.002928,0.98875,-1.65375,-0.83125
255,2026-03-08_08:42:21.644,-1.010465,-0.053497,-0.001952,1.16375,-1.8025,-0.91
256,2026-03-08_08:42:21.746,-1.017053,-0.059597,-0.004819,0.98875,-1.89875,-0.93625
257,2026-03-08_08:42:21.849,-1.019005,-0.06344,0.003172,0.90125,-1.63625,-0.97125
258,2026-03-08_08:42:21.950,-1.015711,-0.06649,0.004758,1.225,-1.68875,-0.84875
259,2026-03-08_08:42:22.052,-1.012478,-0.06039,-0.000183,1.1725,-1.79375,-0.98875
260,2026-03-08_08:42:22.155,-1.012234,-0.058255,-0.00427,1.14625,-1.89,-0.9275
261,2026-03-08_08:42:22.256,-1.014491,-0.057523,-0.001464,1.11125,-1.65375,-0.8575
262,2026-03-08_08:42:22.357,-1.010648,-0.064233,-0.006588,0.8575,-1.70625,-1.12
263,2026-03-08_08:42:22.459,-1.003206,-0.062403,0.000976,1.09375,-1.8725,-0.875
264,2026-03-08_08:42:22.561,-1.013088,-0.056303,-0.001403,1.0675,-1.7675,-0.98
265,2026-03-08_08:42:22.662,-1.016016,-0.061732,0.000549,1.015,-1.79375,-0.88375
266,2026-03-08_08:42:22.764,-1.015162,-0.05917,0.004575,0.9975,-1.6975,-0.83125
267,2026-03-08_08:42:22.866,-1.009306,-0.066429,-0.004575,0.7875,-1.82,-0.90125
268,2026-03-08_08:42:22.968,-1.021506,-0.054412,0.00122,1.1375,-1.61,-0.9625
269,2026-03-08_08:42:23.070,-1.005097,-0.066734,0.000244,1.0325,-1.6975,-0.91875
270,2026-03-08_08:42:23.172,-1.01931,-0.061244,0.003538,1.1025,-1.715,-1.015
271,2026-03-08_08:42:23.273,-1.016199,-0.063501,0.007259,1.085,-1.77625,-0.84875
272,2026-03-08_08:42:23.376,-1.019493,-0.055876,-0.000488,0.97125,-1.79375,-0.945
